"","Year","AnnualCO2D_VLC0","AnnualCO2D_VLC10","AnnualCO2D_VLC1","AnnualCO2D_VLC2","AnnualCO2D_VLC3","AnnualCO2D_VLC4","AnnualCO2D_VLC5","AnnualCO2D_VLC6","AnnualCO2D_VLC7","AnnualCO2D_VLC8","AnnualCO2D_VLC9","AnnualCO2D_VLN0","AnnualCO2D_VLN10","AnnualCO2D_VLN1","AnnualCO2D_VLN2","AnnualCO2D_VLN3","AnnualCO2D_VLN4","AnnualCO2D_VLN5","AnnualCO2D_VLN6","AnnualCO2D_VLN7","AnnualCO2D_VLN8","AnnualCO2D_VLN9","AnnualCO2D_VLR0","AnnualCO2D_VLR10","AnnualCO2D_VLR1","AnnualCO2D_VLR2","AnnualCO2D_VLR3","AnnualCO2D_VLR4","AnnualCO2D_VLR5","AnnualCO2D_VLR6","AnnualCO2D_VLR7","AnnualCO2D_VLR8","AnnualCO2D_VLR9","AnnualCO2D_VMC0","AnnualCO2D_VMC10","AnnualCO2D_VMC1","AnnualCO2D_VMC2","AnnualCO2D_VMC3","AnnualCO2D_VMC4","AnnualCO2D_VMC5","AnnualCO2D_VMC6","AnnualCO2D_VMC7","AnnualCO2D_VMC8","AnnualCO2D_VMC9","AnnualCO2D_VMN0","AnnualCO2D_VMN10","AnnualCO2D_VMN1","AnnualCO2D_VMN2","AnnualCO2D_VMN3","AnnualCO2D_VMN4","AnnualCO2D_VMN5","AnnualCO2D_VMN6","AnnualCO2D_VMN7","AnnualCO2D_VMN8","AnnualCO2D_VMN9","AnnualCO2D_VMR0","AnnualCO2D_VMR10","AnnualCO2D_VMR1","AnnualCO2D_VMR2","AnnualCO2D_VMR3","AnnualCO2D_VMR4","AnnualCO2D_VMR5","AnnualCO2D_VMR6","AnnualCO2D_VMR7","AnnualCO2D_VMR8","AnnualCO2D_VMR9"
"1",1,1.67238218322293,1.48488191101544,1.60012596143762,1.54698311454724,1.51042569070504,1.49111862308091,1.48133115016068,1.47702411721116,1.47563715262749,1.47629366695769,1.47930695074612,1.67238218322293,1.48488191101544,1.60012596143762,1.54698311454724,1.51042569070504,1.49111862308091,1.48133115016068,1.47702411721116,1.47563715262749,1.47629366695769,1.47930695074612,1.67238218322293,1.48488191101544,1.60012596143762,1.54698311454724,1.51042569070504,1.49111862308091,1.48133115016068,1.47702411721116,1.47563715262749,1.47629366695769,1.47930695074612,1.67238218322293,1.48488191101544,1.60012596143762,1.54698311454724,1.51042569070504,1.49111862308091,1.48133115016068,1.47702411721116,1.47563715262749,1.47629366695769,1.47930695074612,1.67238218322293,1.48488191101544,1.60012596143762,1.54698311454724,1.51042569070504,1.49111862308091,1.48133115016068,1.47702411721116,1.47563715262749,1.47629366695769,1.47930695074612,1.67238218322293,1.48488191101544,1.60012596143762,1.54698311454724,1.51042569070504,1.49111862308091,1.48133115016068,1.47702411721116,1.47563715262749,1.47629366695769,1.47930695074612
"2",2,0.681415752941487,0.641485783271311,0.665793074511713,0.654419055103966,0.647893794221807,0.64479679993517,0.643426735467933,0.643132176970354,0.642774195256922,0.642131469276462,0.641785939423948,0.681415752941487,0.641485783271311,0.665793074511713,0.654419055103966,0.647893794221807,0.64479679993517,0.643426735467933,0.643132176970354,0.642774195256922,0.642131469276462,0.641785939423948,0.681415752941487,0.641485783271311,0.665793074511713,0.654419055103966,0.647893794221807,0.64479679993517,0.643426735467933,0.643132176970354,0.642774195256922,0.642131469276462,0.641785939423948,0.681415752941487,0.641485783271311,0.665793074511713,0.654419055103966,0.647893794221807,0.64479679993517,0.643426735467933,0.643132176970354,0.642774195256922,0.642131469276462,0.641785939423948,0.681415752941487,0.641485783271311,0.665793074511713,0.654419055103966,0.647893794221807,0.64479679993517,0.643426735467933,0.643132176970354,0.642774195256922,0.642131469276462,0.641785939423948,0.681415752941487,0.641485783271311,0.665793074511713,0.654419055103966,0.647893794221807,0.64479679993517,0.643426735467933,0.643132176970354,0.642774195256922,0.642131469276462,0.641785939423948
"3",3,0.255727657347004,0.252791133082038,0.256139642920697,0.255095595860737,0.253154003358926,0.251993245735373,0.251322707124689,0.251188016588999,0.251165540165134,0.251242184055763,0.251811145954913,0.255727657347004,0.252791133082038,0.256139642920697,0.255095595860737,0.253154003358926,0.251993245735373,0.251322707124689,0.251188016588999,0.251165540165134,0.251242184055763,0.251811145954913,0.255727657347004,0.252791133082038,0.256139642920697,0.255095595860737,0.253154003358926,0.251993245735373,0.251322707124689,0.251188016588999,0.251165540165134,0.251242184055763,0.251811145954913,0.255727657347004,0.252791133082038,0.256139642920697,0.255095595860737,0.253154003358926,0.251993245735373,0.251322707124689,0.251188016588999,0.251165540165134,0.251242184055763,0.251811145954913,0.255727657347004,0.252791133082038,0.256139642920697,0.255095595860737,0.253154003358926,0.251993245735373,0.251322707124689,0.251188016588999,0.251165540165134,0.251242184055763,0.251811145954913,0.255727657347004,0.252791133082038,0.256139642920697,0.255095595860737,0.253154003358926,0.251993245735373,0.251322707124689,0.251188016588999,0.251165540165134,0.251242184055763,0.251811145954913
"4",4,0.187414414094347,0.187242676254083,0.187841433432364,0.187762459168859,0.187403434443341,0.187163864734401,0.187025420209664,0.186986700959424,0.186975974560706,0.186987209912225,0.187079296559252,0.187414414094347,0.187242676254083,0.187841433432364,0.187762459168859,0.187403434443341,0.187163864734401,0.187025420209664,0.186986700959424,0.186975974560706,0.186987209912225,0.187079296559252,0.187414414094347,0.187242676254083,0.187841433432364,0.187762459168859,0.187403434443341,0.187163864734401,0.187025420209664,0.186986700959424,0.186975974560706,0.186987209912225,0.187079296559252,0.187414414094347,0.187242676254083,0.187841433432364,0.187762459168859,0.187403434443341,0.187163864734401,0.187025420209664,0.186986700959424,0.186975974560706,0.186987209912225,0.187079296559252,0.187414414094347,0.187242676254083,0.187841433432364,0.187762459168859,0.187403434443341,0.187163864734401,0.187025420209664,0.186986700959424,0.186975974560706,0.186987209912225,0.187079296559252,0.187414414094347,0.187242676254083,0.187841433432364,0.187762459168859,0.187403434443341,0.187163864734401,0.187025420209664,0.186986700959424,0.186975974560706,0.186987209912225,0.187079296559252
"5",5,0.138096123392041,0.139598436750896,0.138617284882803,0.139067322217179,0.139614999760845,0.139859157322097,0.140012159309356,0.140031723627227,0.140029315200939,0.14000395236235,0.13984376038315,0.138096123392041,0.139598436750896,0.138617284882803,0.139067322217179,0.139614999760845,0.139859157322097,0.140012159309356,0.140031723627227,0.140029315200939,0.14000395236235,0.13984376038315,0.138096123392041,0.139598436750896,0.138617284882803,0.139067322217179,0.139614999760845,0.139859157322097,0.140012159309356,0.140031723627227,0.140029315200939,0.14000395236235,0.13984376038315,0.138096123392041,0.139598436750896,0.138617284882803,0.139067322217179,0.139614999760845,0.139859157322097,0.140012159309356,0.140031723627227,0.140029315200939,0.14000395236235,0.13984376038315,0.138096123392041,0.139598436750896,0.138617284882803,0.139067322217179,0.139614999760845,0.139859157322097,0.140012159309356,0.140031723627227,0.140029315200939,0.14000395236235,0.13984376038315,0.138096123392041,0.139598436750896,0.138617284882803,0.139067322217179,0.139614999760845,0.139859157322097,0.140012159309356,0.140031723627227,0.140029315200939,0.14000395236235,0.13984376038315
"6",6,0.102216668532802,0.104768715738175,0.102856246692236,0.103663113927321,0.104679980103068,0.105200340773248,0.105482032112768,0.105615338041205,0.105618916688734,0.105495510243292,0.105235154462777,0.102216668532802,0.104768715738175,0.102856246692236,0.103663113927321,0.104679980103068,0.105200340773248,0.105482032112768,0.105615338041205,0.105618916688734,0.105495510243292,0.105235154462777,0.102216668532802,0.104768715738175,0.102856246692236,0.103663113927321,0.104679980103068,0.105200340773248,0.105482032112768,0.105615338041205,0.105618916688734,0.105495510243292,0.105235154462777,0.102216668532802,0.104768715738175,0.102856246692236,0.103663113927321,0.104679980103068,0.105200340773248,0.105482032112768,0.105615338041205,0.105618916688734,0.105495510243292,0.105235154462777,0.102216668532802,0.104768715738175,0.102856246692236,0.103663113927321,0.104679980103068,0.105200340773248,0.105482032112768,0.105615338041205,0.105618916688734,0.105495510243292,0.105235154462777,0.102216668532802,0.104768715738175,0.102856246692236,0.103663113927321,0.104679980103068,0.105200340773248,0.105482032112768,0.105615338041205,0.105618916688734,0.105495510243292,0.105235154462777
"7",7,0.0761100480811858,0.0792107571232568,0.076861895847588,0.0778813416862081,0.0790445443995051,0.0797107427360764,0.0800429785357751,0.0801100878190892,0.0801181022676361,0.0800724074060127,0.0797823628248697,0.0761100480811858,0.0792107571232568,0.076861895847588,0.0778813416862081,0.0790445443995051,0.0797107427360764,0.0800429785357751,0.0801100878190892,0.0801181022676361,0.0800724074060127,0.0797823628248697,0.0761100480811858,0.0792107571232568,0.076861895847588,0.0778813416862081,0.0790445443995051,0.0797107427360764,0.0800429785357751,0.0801100878190892,0.0801181022676361,0.0800724074060127,0.0797823628248697,0.0761100480811858,0.0792107571232568,0.076861895847588,0.0778813416862081,0.0790445443995051,0.0797107427360764,0.0800429785357751,0.0801100878190892,0.0801181022676361,0.0800724074060127,0.0797823628248697,0.0761100480811858,0.0792107571232568,0.076861895847588,0.0778813416862081,0.0790445443995051,0.0797107427360764,0.0800429785357751,0.0801100878190892,0.0801181022676361,0.0800724074060127,0.0797823628248697,0.0761100480811858,0.0792107571232568,0.076861895847588,0.0778813416862081,0.0790445443995051,0.0797107427360764,0.0800429785357751,0.0801100878190892,0.0801181022676361,0.0800724074060127,0.0797823628248697
"8",8,0.057017750913398,0.0603636549302847,0.0578650652513935,0.0588497058739504,0.0601404432240836,0.060834527523794,0.0611896875983355,0.0613033323748728,0.0613145693025081,0.0612307758277398,0.0609332570712856,0.057017750913398,0.0603636549302847,0.0578650652513935,0.0588497058739504,0.0601404432240836,0.060834527523794,0.0611896875983355,0.0613033323748728,0.0613145693025081,0.0612307758277398,0.0609332570712856,0.057017750913398,0.0603636549302847,0.0578650652513935,0.0588497058739504,0.0601404432240836,0.060834527523794,0.0611896875983355,0.0613033323748728,0.0613145693025081,0.0612307758277398,0.0609332570712856,0.057017750913398,0.0603636549302847,0.0578650652513935,0.0588497058739504,0.0601404432240836,0.060834527523794,0.0611896875983355,0.0613033323748728,0.0613145693025081,0.0612307758277398,0.0609332570712856,0.057017750913398,0.0603636549302847,0.0578650652513935,0.0588497058739504,0.0601404432240836,0.060834527523794,0.0611896875983355,0.0613033323748728,0.0613145693025081,0.0612307758277398,0.0609332570712856,0.057017750913398,0.0603636549302847,0.0578650652513935,0.0588497058739504,0.0601404432240836,0.060834527523794,0.0611896875983355,0.0613033323748728,0.0613145693025081,0.0612307758277398,0.0609332570712856
"9",9,0.0430077479965561,0.0464800818154538,0.0439289509239004,0.0449878289038899,0.0462156670686935,0.0468357938738664,0.0472106669864174,0.0473051944282433,0.0473187865253066,0.0472602598806164,0.0469542030142361,0.0430077479965561,0.0464800818154538,0.0439289509239004,0.0449878289038899,0.0462156670686935,0.0468357938738664,0.0472106669864174,0.0473051944282433,0.0473187865253066,0.0472602598806164,0.0469542030142361,0.0430077479965561,0.0464800818154538,0.0439289509239004,0.0449878289038899,0.0462156670686935,0.0468357938738664,0.0472106669864174,0.0473051944282433,0.0473187865253066,0.0472602598806164,0.0469542030142361,0.0430077479965561,0.0464800818154538,0.0439289509239004,0.0449878289038899,0.0462156670686935,0.0468357938738664,0.0472106669864174,0.0473051944282433,0.0473187865253066,0.0472602598806164,0.0469542030142361,0.0430077479965561,0.0464800818154538,0.0439289509239004,0.0449878289038899,0.0462156670686935,0.0468357938738664,0.0472106669864174,0.0473051944282433,0.0473187865253066,0.0472602598806164,0.0469542030142361,0.0430077479965561,0.0464800818154538,0.0439289509239004,0.0449878289038899,0.0462156670686935,0.0468357938738664,0.0472106669864174,0.0473051944282433,0.0473187865253066,0.0472602598806164,0.0469542030142361
"10",10,0.0326649180537507,0.0361308353497673,0.0336408840511489,0.0347239519833994,0.0358367984987681,0.03649754090293,0.0367988051790745,0.0368785719295308,0.0368938506588299,0.0368544909021746,0.0366299134533741,0.0326649180537507,0.0361308353497673,0.0336408840511489,0.0347239519833994,0.0358367984987681,0.03649754090293,0.0367988051790745,0.0368785719295308,0.0368938506588299,0.0368544909021746,0.0366299134533741,0.0326649180537507,0.0361308353497673,0.0336408840511489,0.0347239519833994,0.0358367984987681,0.03649754090293,0.0367988051790745,0.0368785719295308,0.0368938506588299,0.0368544909021746,0.0366299134533741,0.0326649180537507,0.0361308353497673,0.0336408840511489,0.0347239519833994,0.0358367984987681,0.03649754090293,0.0367988051790745,0.0368785719295308,0.0368938506588299,0.0368544909021746,0.0366299134533741,0.0326649180537507,0.0361308353497673,0.0336408840511489,0.0347239519833994,0.0358367984987681,0.03649754090293,0.0367988051790745,0.0368785719295308,0.0368938506588299,0.0368544909021746,0.0366299134533741,0.0326649180537507,0.0361308353497673,0.0336408840511489,0.0347239519833994,0.0358367984987681,0.03649754090293,0.0367988051790745,0.0368785719295308,0.0368938506588299,0.0368544909021746,0.0366299134533741
