"","Year","AnnualCTail_VLC0","AnnualCTail_VLC10","AnnualCTail_VLC1","AnnualCTail_VLC2","AnnualCTail_VLC3","AnnualCTail_VLC4","AnnualCTail_VLC5","AnnualCTail_VLC6","AnnualCTail_VLC7","AnnualCTail_VLC8","AnnualCTail_VLC9","AnnualCTail_VLN0","AnnualCTail_VLN10","AnnualCTail_VLN1","AnnualCTail_VLN2","AnnualCTail_VLN3","AnnualCTail_VLN4","AnnualCTail_VLN5","AnnualCTail_VLN6","AnnualCTail_VLN7","AnnualCTail_VLN8","AnnualCTail_VLN9","AnnualCTail_VLR0","AnnualCTail_VLR10","AnnualCTail_VLR1","AnnualCTail_VLR2","AnnualCTail_VLR3","AnnualCTail_VLR4","AnnualCTail_VLR5","AnnualCTail_VLR6","AnnualCTail_VLR7","AnnualCTail_VLR8","AnnualCTail_VLR9","AnnualCTail_VMC0","AnnualCTail_VMC10","AnnualCTail_VMC1","AnnualCTail_VMC2","AnnualCTail_VMC3","AnnualCTail_VMC4","AnnualCTail_VMC5","AnnualCTail_VMC6","AnnualCTail_VMC7","AnnualCTail_VMC8","AnnualCTail_VMC9","AnnualCTail_VMN0","AnnualCTail_VMN10","AnnualCTail_VMN1","AnnualCTail_VMN2","AnnualCTail_VMN3","AnnualCTail_VMN4","AnnualCTail_VMN5","AnnualCTail_VMN6","AnnualCTail_VMN7","AnnualCTail_VMN8","AnnualCTail_VMN9","AnnualCTail_VMR0","AnnualCTail_VMR10","AnnualCTail_VMR1","AnnualCTail_VMR2","AnnualCTail_VMR3","AnnualCTail_VMR4","AnnualCTail_VMR5","AnnualCTail_VMR6","AnnualCTail_VMR7","AnnualCTail_VMR8","AnnualCTail_VMR9"
"1",1,0.457023180031505,0.508556423883938,0.476882337851805,0.491488307515592,0.501535880328671,0.506842303686013,0.509532327667093,0.510716087971306,0.511097286266452,0.510916847525364,0.510088665856944,0.457023180031505,0.508556423883938,0.476882337851805,0.491488307515592,0.501535880328671,0.506842303686013,0.509532327667093,0.510716087971306,0.511097286266452,0.510916847525364,0.510088665856944,0.457023180031505,0.508556423883938,0.476882337851805,0.491488307515592,0.501535880328671,0.506842303686013,0.509532327667093,0.510716087971306,0.511097286266452,0.510916847525364,0.510088665856944,0.457023180031505,0.508556423883938,0.476882337851805,0.491488307515592,0.501535880328671,0.506842303686013,0.509532327667093,0.510716087971306,0.511097286266452,0.510916847525364,0.510088665856944,0.457023180031505,0.508556423883938,0.476882337851805,0.491488307515592,0.501535880328671,0.506842303686013,0.509532327667093,0.510716087971306,0.511097286266452,0.510916847525364,0.510088665856944,0.457023180031505,0.508556423883938,0.476882337851805,0.491488307515592,0.501535880328671,0.506842303686013,0.509532327667093,0.510716087971306,0.511097286266452,0.510916847525364,0.510088665856944
"2",2,0.351609143983229,0.414202708502156,0.375795673813328,0.393552166829767,0.40540719099794,0.411571459983401,0.414640982182651,0.415906333118291,0.416386689829433,0.416384281662957,0.415651809332666,0.351609143983229,0.414202708502156,0.375795673813328,0.393552166829767,0.40540719099794,0.411571459983401,0.414640982182651,0.415906333118291,0.416386689829433,0.416384281662957,0.415651809332666,0.351609143983229,0.414202708502156,0.375795673813328,0.393552166829767,0.40540719099794,0.411571459983401,0.414640982182651,0.415906333118291,0.416386689829433,0.416384281662957,0.415651809332666,0.351609143983229,0.414202708502156,0.375795673813328,0.393552166829767,0.40540719099794,0.411571459983401,0.414640982182651,0.415906333118291,0.416386689829433,0.416384281662957,0.415651809332666,0.351609143983229,0.414202708502156,0.375795673813328,0.393552166829767,0.40540719099794,0.411571459983401,0.414640982182651,0.415906333118291,0.416386689829433,0.416384281662957,0.415651809332666,0.351609143983229,0.414202708502156,0.375795673813328,0.393552166829767,0.40540719099794,0.411571459983401,0.414640982182651,0.415906333118291,0.416386689829433,0.416384281662957,0.415651809332666
"3",3,0.280208748253107,0.343622204514542,0.304280249723341,0.322328245716092,0.334725371878293,0.341213729992511,0.344470469806984,0.345773426990025,0.346260059227151,0.34623625171663,0.345344922479049,0.280208748253107,0.343622204514542,0.304280249723341,0.322328245716092,0.334725371878293,0.341213729992511,0.344470469806984,0.345773426990025,0.346260059227151,0.34623625171663,0.345344922479049,0.280208748253107,0.343622204514542,0.304280249723341,0.322328245716092,0.334725371878293,0.341213729992511,0.344470469806984,0.345773426990025,0.346260059227151,0.34623625171663,0.345344922479049,0.280208748253107,0.343622204514542,0.304280249723341,0.322328245716092,0.334725371878293,0.341213729992511,0.344470469806984,0.345773426990025,0.346260059227151,0.34623625171663,0.345344922479049,0.280208748253107,0.343622204514542,0.304280249723341,0.322328245716092,0.334725371878293,0.341213729992511,0.344470469806984,0.345773426990025,0.346260059227151,0.34623625171663,0.345344922479049,0.280208748253107,0.343622204514542,0.304280249723341,0.322328245716092,0.334725371878293,0.341213729992511,0.344470469806984,0.345773426990025,0.346260059227151,0.34623625171663,0.345344922479049
"4",4,0.227460531508287,0.290922323778802,0.251411847406323,0.269482070886692,0.281980245381434,0.288536030939766,0.291831736283296,0.293145591088132,0.293635242294783,0.293608272568805,0.292691025333186,0.227460531508287,0.290922323778802,0.251411847406323,0.269482070886692,0.281980245381434,0.288536030939766,0.291831736283296,0.293145591088132,0.293635242294783,0.293608272568805,0.292691025333186,0.227460531508287,0.290922323778802,0.251411847406323,0.269482070886692,0.281980245381434,0.288536030939766,0.291831736283296,0.293145591088132,0.293635242294783,0.293608272568805,0.292691025333186,0.227460531508287,0.290922323778802,0.251411847406323,0.269482070886692,0.281980245381434,0.288536030939766,0.291831736283296,0.293145591088132,0.293635242294783,0.293608272568805,0.292691025333186,0.227460531508287,0.290922323778802,0.251411847406323,0.269482070886692,0.281980245381434,0.288536030939766,0.291831736283296,0.293145591088132,0.293635242294783,0.293608272568805,0.292691025333186,0.227460531508287,0.290922323778802,0.251411847406323,0.269482070886692,0.281980245381434,0.288536030939766,0.291831736283296,0.293145591088132,0.293635242294783,0.293608272568805,0.292691025333186
"5",5,0.188277656865215,0.251313188393802,0.212081100362059,0.230023631941856,0.242366410470288,0.248852919680517,0.252105212815654,0.253413516514523,0.25390385107899,0.253884077709438,0.253012282743482,0.188277656865215,0.251313188393802,0.212081100362059,0.230023631941856,0.242366410470288,0.248852919680517,0.252105212815654,0.253413516514523,0.25390385107899,0.253884077709438,0.253012282743482,0.188277656865215,0.251313188393802,0.212081100362059,0.230023631941856,0.242366410470288,0.248852919680517,0.252105212815654,0.253413516514523,0.25390385107899,0.253884077709438,0.253012282743482,0.188277656865215,0.251313188393802,0.212081100362059,0.230023631941856,0.242366410470288,0.248852919680517,0.252105212815654,0.253413516514523,0.25390385107899,0.253884077709438,0.253012282743482,0.188277656865215,0.251313188393802,0.212081100362059,0.230023631941856,0.242366410470288,0.248852919680517,0.252105212815654,0.253413516514523,0.25390385107899,0.253884077709438,0.253012282743482,0.188277656865215,0.251313188393802,0.212081100362059,0.230023631941856,0.242366410470288,0.248852919680517,0.252105212815654,0.253413516514523,0.25390385107899,0.253884077709438,0.253012282743482
"6",6,0.159037806606962,0.221343305752296,0.182658293939428,0.200370015050924,0.212421911327582,0.218759567436897,0.221931280636248,0.223201451167191,0.223690762032496,0.223706290008972,0.222908971780963,0.159037806606962,0.221343305752296,0.182658293939428,0.200370015050924,0.212421911327582,0.218759567436897,0.221931280636248,0.223201451167191,0.223690762032496,0.223706290008972,0.222908971780963,0.159037806606962,0.221343305752296,0.182658293939428,0.200370015050924,0.212421911327582,0.218759567436897,0.221931280636248,0.223201451167191,0.223690762032496,0.223706290008972,0.222908971780963,0.159037806606962,0.221343305752296,0.182658293939428,0.200370015050924,0.212421911327582,0.218759567436897,0.221931280636248,0.223201451167191,0.223690762032496,0.223706290008972,0.222908971780963,0.159037806606962,0.221343305752296,0.182658293939428,0.200370015050924,0.212421911327582,0.218759567436897,0.221931280636248,0.223201451167191,0.223690762032496,0.223706290008972,0.222908971780963,0.159037806606962,0.221343305752296,0.182658293939428,0.200370015050924,0.212421911327582,0.218759567436897,0.221931280636248,0.223201451167191,0.223690762032496,0.223706290008972,0.222908971780963
"7",7,0.137086362190376,0.198497563619377,0.16049000372035,0.17790769915158,0.189624107797499,0.195769620870193,0.198845511561555,0.200096326623153,0.200583325983916,0.200612033142909,0.199898368751178,0.137086362190376,0.198497563619377,0.16049000372035,0.17790769915158,0.189624107797499,0.195769620870193,0.198845511561555,0.200096326623153,0.200583325983916,0.200612033142909,0.199898368751178,0.137086362190376,0.198497563619377,0.16049000372035,0.17790769915158,0.189624107797499,0.195769620870193,0.198845511561555,0.200096326623153,0.200583325983916,0.200612033142909,0.199898368751178,0.137086362190376,0.198497563619377,0.16049000372035,0.17790769915158,0.189624107797499,0.195769620870193,0.198845511561555,0.200096326623153,0.200583325983916,0.200612033142909,0.199898368751178,0.137086362190376,0.198497563619377,0.16049000372035,0.17790769915158,0.189624107797499,0.195769620870193,0.198845511561555,0.200096326623153,0.200583325983916,0.200612033142909,0.199898368751178,0.137086362190376,0.198497563619377,0.16049000372035,0.17790769915158,0.189624107797499,0.195769620870193,0.198845511561555,0.200096326623153,0.200583325983916,0.200612033142909,0.199898368751178
"8",8,0.120504686242782,0.180942845149568,0.143661915181004,0.160793261335623,0.172134302869888,0.178077965102207,0.181050569550755,0.182268334889635,0.182752066371717,0.182805142016363,0.18217800084817,0.120504686242782,0.180942845149568,0.143661915181004,0.160793261335623,0.172134302869888,0.178077965102207,0.181050569550755,0.182268334889635,0.182752066371717,0.182805142016363,0.18217800084817,0.120504686242782,0.180942845149568,0.143661915181004,0.160793261335623,0.172134302869888,0.178077965102207,0.181050569550755,0.182268334889635,0.182752066371717,0.182805142016363,0.18217800084817,0.120504686242782,0.180942845149568,0.143661915181004,0.160793261335623,0.172134302869888,0.178077965102207,0.181050569550755,0.182268334889635,0.182752066371717,0.182805142016363,0.18217800084817,0.120504686242782,0.180942845149568,0.143661915181004,0.160793261335623,0.172134302869888,0.178077965102207,0.181050569550755,0.182268334889635,0.182752066371717,0.182805142016363,0.18217800084817,0.120504686242782,0.180942845149568,0.143661915181004,0.160793261335623,0.172134302869888,0.178077965102207,0.181050569550755,0.182268334889635,0.182752066371717,0.182805142016363,0.18217800084817
"9",9,0.107891087127562,0.167310856817845,0.13077813952852,0.147598930888392,0.158579863858256,0.164341651166046,0.16720431032843,0.168394352028846,0.168874097130066,0.168944337859333,0.168406959089749,0.107891087127562,0.167310856817845,0.13077813952852,0.147598930888392,0.158579863858256,0.164341651166046,0.16720431032843,0.168394352028846,0.168874097130066,0.168944337859333,0.168406959089749,0.107891087127562,0.167310856817845,0.13077813952852,0.147598930888392,0.158579863858256,0.164341651166046,0.16720431032843,0.168394352028846,0.168874097130066,0.168944337859333,0.168406959089749,0.107891087127562,0.167310856817845,0.13077813952852,0.147598930888392,0.158579863858256,0.164341651166046,0.16720431032843,0.168394352028846,0.168874097130066,0.168944337859333,0.168406959089749,0.107891087127562,0.167310856817845,0.13077813952852,0.147598930888392,0.158579863858256,0.164341651166046,0.16720431032843,0.168394352028846,0.168874097130066,0.168944337859333,0.168406959089749,0.107891087127562,0.167310856817845,0.13077813952852,0.147598930888392,0.158579863858256,0.164341651166046,0.16720431032843,0.168394352028846,0.168874097130066,0.168944337859333,0.168406959089749
"10",10,0.0982288159619884,0.15662336854637,0.120827177967343,0.137327598217302,0.147979351582935,0.153545691522111,0.156319236818547,0.157485683542493,0.15796090920101,0.158042792532324,0.157571843692379,0.0982288159619884,0.15662336854637,0.120827177967343,0.137327598217302,0.147979351582935,0.153545691522111,0.156319236818547,0.157485683542493,0.15796090920101,0.158042792532324,0.157571843692379,0.0982288159619884,0.15662336854637,0.120827177967343,0.137327598217302,0.147979351582935,0.153545691522111,0.156319236818547,0.157485683542493,0.15796090920101,0.158042792532324,0.157571843692379,0.0982288159619884,0.15662336854637,0.120827177967343,0.137327598217302,0.147979351582935,0.153545691522111,0.156319236818547,0.157485683542493,0.15796090920101,0.158042792532324,0.157571843692379,0.0982288159619884,0.15662336854637,0.120827177967343,0.137327598217302,0.147979351582935,0.153545691522111,0.156319236818547,0.157485683542493,0.15796090920101,0.158042792532324,0.157571843692379,0.0982288159619884,0.15662336854637,0.120827177967343,0.137327598217302,0.147979351582935,0.153545691522111,0.156319236818547,0.157485683542493,0.15796090920101,0.158042792532324,0.157571843692379
