"","Year","AnnualCTail_VLC0","AnnualCTail_VLC10","AnnualCTail_VLC1","AnnualCTail_VLC2","AnnualCTail_VLC3","AnnualCTail_VLC4","AnnualCTail_VLC5","AnnualCTail_VLC6","AnnualCTail_VLC7","AnnualCTail_VLC8","AnnualCTail_VLC9","AnnualCTail_VLN0","AnnualCTail_VLN10","AnnualCTail_VLN1","AnnualCTail_VLN2","AnnualCTail_VLN3","AnnualCTail_VLN4","AnnualCTail_VLN5","AnnualCTail_VLN6","AnnualCTail_VLN7","AnnualCTail_VLN8","AnnualCTail_VLN9","AnnualCTail_VLR0","AnnualCTail_VLR10","AnnualCTail_VLR1","AnnualCTail_VLR2","AnnualCTail_VLR3","AnnualCTail_VLR4","AnnualCTail_VLR5","AnnualCTail_VLR6","AnnualCTail_VLR7","AnnualCTail_VLR8","AnnualCTail_VLR9","AnnualCTail_VMC0","AnnualCTail_VMC10","AnnualCTail_VMC1","AnnualCTail_VMC2","AnnualCTail_VMC3","AnnualCTail_VMC4","AnnualCTail_VMC5","AnnualCTail_VMC6","AnnualCTail_VMC7","AnnualCTail_VMC8","AnnualCTail_VMC9","AnnualCTail_VMN0","AnnualCTail_VMN10","AnnualCTail_VMN1","AnnualCTail_VMN2","AnnualCTail_VMN3","AnnualCTail_VMN4","AnnualCTail_VMN5","AnnualCTail_VMN6","AnnualCTail_VMN7","AnnualCTail_VMN8","AnnualCTail_VMN9","AnnualCTail_VMR0","AnnualCTail_VMR10","AnnualCTail_VMR1","AnnualCTail_VMR2","AnnualCTail_VMR3","AnnualCTail_VMR4","AnnualCTail_VMR5","AnnualCTail_VMR6","AnnualCTail_VMR7","AnnualCTail_VMR8","AnnualCTail_VMR9"
"1",1,0.459643486635161,0.408110242782729,0.439784328814861,0.425178359151074,0.415130786337995,0.409824362980654,0.407134338999574,0.405950578695361,0.405569380400215,0.405749819141303,0.406578000809723,0.459643486635161,0.408110242782729,0.439784328814861,0.425178359151074,0.415130786337995,0.409824362980654,0.407134338999574,0.405950578695361,0.405569380400215,0.405749819141303,0.406578000809723,0.459643486635161,0.408110242782729,0.439784328814861,0.425178359151074,0.415130786337995,0.409824362980654,0.407134338999574,0.405950578695361,0.405569380400215,0.405749819141303,0.406578000809723,0.459643486635161,0.408110242782729,0.439784328814861,0.425178359151074,0.415130786337995,0.409824362980654,0.407134338999574,0.405950578695361,0.405569380400215,0.405749819141303,0.406578000809723,0.459643486635161,0.408110242782729,0.439784328814861,0.425178359151074,0.415130786337995,0.409824362980654,0.407134338999574,0.405950578695361,0.405569380400215,0.405749819141303,0.406578000809723,0.459643486635161,0.408110242782729,0.439784328814861,0.425178359151074,0.415130786337995,0.409824362980654,0.407134338999574,0.405950578695361,0.405569380400215,0.405749819141303,0.406578000809723
"2",2,0.18874736938161,0.177687048715116,0.184419997371811,0.181269474019158,0.179462022664065,0.178604177035945,0.178224678817776,0.178143088186348,0.178043929770351,0.177865899195741,0.177770189857611,0.18874736938161,0.177687048715116,0.184419997371811,0.181269474019158,0.179462022664065,0.178604177035945,0.178224678817776,0.178143088186348,0.178043929770351,0.177865899195741,0.177770189857611,0.18874736938161,0.177687048715116,0.184419997371811,0.181269474019158,0.179462022664065,0.178604177035945,0.178224678817776,0.178143088186348,0.178043929770351,0.177865899195741,0.177770189857611,0.18874736938161,0.177687048715116,0.184419997371811,0.181269474019158,0.179462022664065,0.178604177035945,0.178224678817776,0.178143088186348,0.178043929770351,0.177865899195741,0.177770189857611,0.18874736938161,0.177687048715116,0.184419997371811,0.181269474019158,0.179462022664065,0.178604177035945,0.178224678817776,0.178143088186348,0.178043929770351,0.177865899195741,0.177770189857611,0.18874736938161,0.177687048715116,0.184419997371811,0.181269474019158,0.179462022664065,0.178604177035945,0.178224678817776,0.178143088186348,0.178043929770351,0.177865899195741,0.177770189857611
"3",3,0.0714003957301217,0.0705805039876138,0.0715154240899868,0.0712239211136746,0.0706818191196465,0.0703577299908902,0.070170512375667,0.0701329061282666,0.0701266306022821,0.0701480299463266,0.0703068868536167,0.0714003957301217,0.0705805039876138,0.0715154240899868,0.0712239211136746,0.0706818191196465,0.0703577299908902,0.070170512375667,0.0701329061282666,0.0701266306022821,0.0701480299463266,0.0703068868536167,0.0714003957301217,0.0705805039876138,0.0715154240899868,0.0712239211136746,0.0706818191196465,0.0703577299908902,0.070170512375667,0.0701329061282666,0.0701266306022821,0.0701480299463266,0.0703068868536167,0.0714003957301217,0.0705805039876138,0.0715154240899868,0.0712239211136746,0.0706818191196465,0.0703577299908902,0.070170512375667,0.0701329061282666,0.0701266306022821,0.0701480299463266,0.0703068868536167,0.0714003957301217,0.0705805039876138,0.0715154240899868,0.0712239211136746,0.0706818191196465,0.0703577299908902,0.070170512375667,0.0701329061282666,0.0701266306022821,0.0701480299463266,0.0703068868536167,0.0714003957301217,0.0705805039876138,0.0715154240899868,0.0712239211136746,0.0706818191196465,0.0703577299908902,0.070170512375667,0.0701329061282666,0.0701266306022821,0.0701480299463266,0.0703068868536167
"4",4,0.0527482167448205,0.0526998807357396,0.0528684023170177,0.0528461748294001,0.0527451264968593,0.0526776990527445,0.052638733523688,0.0526278359018924,0.0526248169323687,0.0526279791478257,0.0526538971458632,0.0527482167448205,0.0526998807357396,0.0528684023170177,0.0528461748294001,0.0527451264968593,0.0526776990527445,0.052638733523688,0.0526278359018924,0.0526248169323687,0.0526279791478257,0.0526538971458632,0.0527482167448205,0.0526998807357396,0.0528684023170177,0.0528461748294001,0.0527451264968593,0.0526776990527445,0.052638733523688,0.0526278359018924,0.0526248169323687,0.0526279791478257,0.0526538971458632,0.0527482167448205,0.0526998807357396,0.0528684023170177,0.0528461748294001,0.0527451264968593,0.0526776990527445,0.052638733523688,0.0526278359018924,0.0526248169323687,0.0526279791478257,0.0526538971458632,0.0527482167448205,0.0526998807357396,0.0528684023170177,0.0528461748294001,0.0527451264968593,0.0526776990527445,0.052638733523688,0.0526278359018924,0.0526248169323687,0.0526279791478257,0.0526538971458632,0.0527482167448205,0.0526998807357396,0.0528684023170177,0.0528461748294001,0.0527451264968593,0.0526776990527445,0.052638733523688,0.0526278359018924,0.0526248169323687,0.0526279791478257,0.0526538971458632
"5",5,0.0391828746430716,0.0396091353850005,0.0393307470442636,0.0394584389448357,0.0396138349111466,0.039683111259249,0.0397265234676416,0.0397320745736089,0.0397313912157924,0.0397241948593661,0.0396787425897031,0.0391828746430716,0.0396091353850005,0.0393307470442636,0.0394584389448357,0.0396138349111466,0.039683111259249,0.0397265234676416,0.0397320745736089,0.0397313912157924,0.0397241948593661,0.0396787425897031,0.0391828746430716,0.0396091353850005,0.0393307470442636,0.0394584389448357,0.0396138349111466,0.039683111259249,0.0397265234676416,0.0397320745736089,0.0397313912157924,0.0397241948593661,0.0396787425897031,0.0391828746430716,0.0396091353850005,0.0393307470442636,0.0394584389448357,0.0396138349111466,0.039683111259249,0.0397265234676416,0.0397320745736089,0.0397313912157924,0.0397241948593661,0.0396787425897031,0.0391828746430716,0.0396091353850005,0.0393307470442636,0.0394584389448357,0.0396138349111466,0.039683111259249,0.0397265234676416,0.0397320745736089,0.0397313912157924,0.0397241948593661,0.0396787425897031,0.0391828746430716,0.0396091353850005,0.0393307470442636,0.0394584389448357,0.0396138349111466,0.039683111259249,0.0397265234676416,0.0397320745736089,0.0397313912157924,0.0397241948593661,0.0396787425897031
"6",6,0.0292398502582534,0.0299698826415054,0.0294228064226316,0.0296536168909321,0.0299444991427049,0.0300933522436204,0.0301739321794061,0.0302120653473325,0.0302130890464942,0.0301777877004669,0.0301033109625197,0.0292398502582534,0.0299698826415054,0.0294228064226316,0.0296536168909321,0.0299444991427049,0.0300933522436204,0.0301739321794061,0.0302120653473325,0.0302130890464942,0.0301777877004669,0.0301033109625197,0.0292398502582534,0.0299698826415054,0.0294228064226316,0.0296536168909321,0.0299444991427049,0.0300933522436204,0.0301739321794061,0.0302120653473325,0.0302130890464942,0.0301777877004669,0.0301033109625197,0.0292398502582534,0.0299698826415054,0.0294228064226316,0.0296536168909321,0.0299444991427049,0.0300933522436204,0.0301739321794061,0.0302120653473325,0.0302130890464942,0.0301777877004669,0.0301033109625197,0.0292398502582534,0.0299698826415054,0.0294228064226316,0.0296536168909321,0.0299444991427049,0.0300933522436204,0.0301739321794061,0.0302120653473325,0.0302130890464942,0.0301777877004669,0.0301033109625197,0.0292398502582534,0.0299698826415054,0.0294228064226316,0.0296536168909321,0.0299444991427049,0.0300933522436204,0.0301739321794061,0.0302120653473325,0.0302130890464942,0.0301777877004669,0.0301033109625197
"7",7,0.0219514444165857,0.0228457421329191,0.0221682902190782,0.0224623158993448,0.0227978035300834,0.0229899465667041,0.0230857690746929,0.0231051245440382,0.0231074360485798,0.0230942568660628,0.0230106030297847,0.0219514444165857,0.0228457421329191,0.0221682902190782,0.0224623158993448,0.0227978035300834,0.0229899465667041,0.0230857690746929,0.0231051245440382,0.0231074360485798,0.0230942568660628,0.0230106030297847,0.0219514444165857,0.0228457421329191,0.0221682902190782,0.0224623158993448,0.0227978035300834,0.0229899465667041,0.0230857690746929,0.0231051245440382,0.0231074360485798,0.0230942568660628,0.0230106030297847,0.0219514444165857,0.0228457421329191,0.0221682902190782,0.0224623158993448,0.0227978035300834,0.0229899465667041,0.0230857690746929,0.0231051245440382,0.0231074360485798,0.0230942568660628,0.0230106030297847,0.0219514444165857,0.0228457421329191,0.0221682902190782,0.0224623158993448,0.0227978035300834,0.0229899465667041,0.0230857690746929,0.0231051245440382,0.0231074360485798,0.0230942568660628,0.0230106030297847,0.0219514444165857,0.0228457421329191,0.0221682902190782,0.0224623158993448,0.0227978035300834,0.0229899465667041,0.0230857690746929,0.0231051245440382,0.0231074360485798,0.0230942568660628,0.0230106030297847
"8",8,0.0165816759475944,0.0175547184698088,0.0168280885393455,0.0171144378159572,0.0174898049276111,0.0176916557679852,0.0177949420107996,0.0178279917335174,0.0178312596121992,0.0178068911265456,0.0177203679030087,0.0165816759475944,0.0175547184698088,0.0168280885393455,0.0171144378159572,0.0174898049276111,0.0176916557679852,0.0177949420107996,0.0178279917335174,0.0178312596121992,0.0178068911265456,0.0177203679030087,0.0165816759475944,0.0175547184698088,0.0168280885393455,0.0171144378159572,0.0174898049276111,0.0176916557679852,0.0177949420107996,0.0178279917335174,0.0178312596121992,0.0178068911265456,0.0177203679030087,0.0165816759475944,0.0175547184698088,0.0168280885393455,0.0171144378159572,0.0174898049276111,0.0176916557679852,0.0177949420107996,0.0178279917335174,0.0178312596121992,0.0178068911265456,0.0177203679030087,0.0165816759475944,0.0175547184698088,0.0168280885393455,0.0171144378159572,0.0174898049276111,0.0176916557679852,0.0177949420107996,0.0178279917335174,0.0178312596121992,0.0178068911265456,0.0177203679030087,0.0165816759475944,0.0175547184698088,0.0168280885393455,0.0171144378159572,0.0174898049276111,0.0176916557679852,0.0177949420107996,0.0178279917335174,0.0178312596121992,0.0178068911265456,0.0177203679030087
"9",9,0.0126135991152194,0.013631988331723,0.0128837756524847,0.0131943304472299,0.0135544390116318,0.0137363139361612,0.0138462592223262,0.0138739828607895,0.0138779692416506,0.0138608041570305,0.0137710417584206,0.0126135991152194,0.013631988331723,0.0128837756524847,0.0131943304472299,0.0135544390116318,0.0137363139361612,0.0138462592223262,0.0138739828607895,0.0138779692416506,0.0138608041570305,0.0137710417584206,0.0126135991152194,0.013631988331723,0.0128837756524847,0.0131943304472299,0.0135544390116318,0.0137363139361612,0.0138462592223262,0.0138739828607895,0.0138779692416506,0.0138608041570305,0.0137710417584206,0.0126135991152194,0.013631988331723,0.0128837756524847,0.0131943304472299,0.0135544390116318,0.0137363139361612,0.0138462592223262,0.0138739828607895,0.0138779692416506,0.0138608041570305,0.0137710417584206,0.0126135991152194,0.013631988331723,0.0128837756524847,0.0131943304472299,0.0135544390116318,0.0137363139361612,0.0138462592223262,0.0138739828607895,0.0138779692416506,0.0138608041570305,0.0137710417584206,0.0126135991152194,0.013631988331723,0.0128837756524847,0.0131943304472299,0.0135544390116318,0.0137363139361612,0.0138462592223262,0.0138739828607895,0.0138779692416506,0.0138608041570305,0.0137710417584206
"10",10,0.00966227116557409,0.0106874882714753,0.00995096156117598,0.0102713326710903,0.0106005122753209,0.0107959596439351,0.010885073509882,0.0109086684863531,0.0109131879290564,0.0109015453270089,0.0108351153973696,0.00966227116557409,0.0106874882714753,0.00995096156117598,0.0102713326710903,0.0106005122753209,0.0107959596439351,0.010885073509882,0.0109086684863531,0.0109131879290564,0.0109015453270089,0.0108351153973696,0.00966227116557409,0.0106874882714753,0.00995096156117598,0.0102713326710903,0.0106005122753209,0.0107959596439351,0.010885073509882,0.0109086684863531,0.0109131879290564,0.0109015453270089,0.0108351153973696,0.00966227116557409,0.0106874882714753,0.00995096156117598,0.0102713326710903,0.0106005122753209,0.0107959596439351,0.010885073509882,0.0109086684863531,0.0109131879290564,0.0109015453270089,0.0108351153973696,0.00966227116557409,0.0106874882714753,0.00995096156117598,0.0102713326710903,0.0106005122753209,0.0107959596439351,0.010885073509882,0.0109086684863531,0.0109131879290564,0.0109015453270089,0.0108351153973696,0.00966227116557409,0.0106874882714753,0.00995096156117598,0.0102713326710903,0.0106005122753209,0.0107959596439351,0.010885073509882,0.0109086684863531,0.0109131879290564,0.0109015453270089,0.0108351153973696
