"","Year","AnnualCO2_VLC0","AnnualCO2_VLC10","AnnualCO2_VLC1","AnnualCO2_VLC2","AnnualCO2_VLC3","AnnualCO2_VLC4","AnnualCO2_VLC5","AnnualCO2_VLC6","AnnualCO2_VLC7","AnnualCO2_VLC8","AnnualCO2_VLC9","AnnualCO2_VLN0","AnnualCO2_VLN10","AnnualCO2_VLN1","AnnualCO2_VLN2","AnnualCO2_VLN3","AnnualCO2_VLN4","AnnualCO2_VLN5","AnnualCO2_VLN6","AnnualCO2_VLN7","AnnualCO2_VLN8","AnnualCO2_VLN9","AnnualCO2_VLR0","AnnualCO2_VLR10","AnnualCO2_VLR1","AnnualCO2_VLR2","AnnualCO2_VLR3","AnnualCO2_VLR4","AnnualCO2_VLR5","AnnualCO2_VLR6","AnnualCO2_VLR7","AnnualCO2_VLR8","AnnualCO2_VLR9","AnnualCO2_VMC0","AnnualCO2_VMC10","AnnualCO2_VMC1","AnnualCO2_VMC2","AnnualCO2_VMC3","AnnualCO2_VMC4","AnnualCO2_VMC5","AnnualCO2_VMC6","AnnualCO2_VMC7","AnnualCO2_VMC8","AnnualCO2_VMC9","AnnualCO2_VMN0","AnnualCO2_VMN10","AnnualCO2_VMN1","AnnualCO2_VMN2","AnnualCO2_VMN3","AnnualCO2_VMN4","AnnualCO2_VMN5","AnnualCO2_VMN6","AnnualCO2_VMN7","AnnualCO2_VMN8","AnnualCO2_VMN9","AnnualCO2_VMR0","AnnualCO2_VMR10","AnnualCO2_VMR1","AnnualCO2_VMR2","AnnualCO2_VMR3","AnnualCO2_VMR4","AnnualCO2_VMR5","AnnualCO2_VMR6","AnnualCO2_VMR7","AnnualCO2_VMR8","AnnualCO2_VMR9"
"1",1,1.68535945099559,1.49640422353667,1.61254253898782,1.55898731688727,1.52214621657265,1.50268933092906,1.4928259096651,1.48848545521632,1.48708772813412,1.48774933685144,1.49078600296898,1.68535945099559,1.49640422353667,1.61254253898782,1.55898731688727,1.52214621657265,1.50268933092906,1.4928259096651,1.48848545521632,1.48708772813412,1.48774933685144,1.49078600296898,1.68535945099559,1.49640422353667,1.61254253898782,1.55898731688727,1.52214621657265,1.50268933092906,1.4928259096651,1.48848545521632,1.48708772813412,1.48774933685144,1.49078600296898,1.68535945099559,1.49640422353667,1.61254253898782,1.55898731688727,1.52214621657265,1.50268933092906,1.4928259096651,1.48848545521632,1.48708772813412,1.48774933685144,1.49078600296898,1.68535945099559,1.49640422353667,1.61254253898782,1.55898731688727,1.52214621657265,1.50268933092906,1.4928259096651,1.48848545521632,1.48708772813412,1.48774933685144,1.49078600296898,1.68535945099559,1.49640422353667,1.61254253898782,1.55898731688727,1.52214621657265,1.50268933092906,1.4928259096651,1.48848545521632,1.48708772813412,1.48774933685144,1.49078600296898
"2",2,0.692073687732569,0.651519178622091,0.676206657029974,0.664654738070248,0.658027416434905,0.654881982465133,0.653490488998511,0.653191323349943,0.652827742491288,0.652174963717715,0.651824029477908,0.692073687732569,0.651519178622091,0.676206657029974,0.664654738070248,0.658027416434905,0.654881982465133,0.653490488998511,0.653191323349943,0.652827742491288,0.652174963717715,0.651824029477908,0.692073687732569,0.651519178622091,0.676206657029974,0.664654738070248,0.658027416434905,0.654881982465133,0.653490488998511,0.653191323349943,0.652827742491288,0.652174963717715,0.651824029477908,0.692073687732569,0.651519178622091,0.676206657029974,0.664654738070248,0.658027416434905,0.654881982465133,0.653490488998511,0.653191323349943,0.652827742491288,0.652174963717715,0.651824029477908,0.692073687732569,0.651519178622091,0.676206657029974,0.664654738070248,0.658027416434905,0.654881982465133,0.653490488998511,0.653191323349943,0.652827742491288,0.652174963717715,0.651824029477908,0.692073687732569,0.651519178622091,0.676206657029974,0.664654738070248,0.658027416434905,0.654881982465133,0.653490488998511,0.653191323349943,0.652827742491288,0.652174963717715,0.651824029477908
"3",3,0.261801451010446,0.258795181287918,0.262223221663285,0.261154377416807,0.25916667010537,0.257978343299931,0.257291878710779,0.257153989136977,0.257130978875034,0.257209443136531,0.257791918463261,0.261801451010446,0.258795181287918,0.262223221663285,0.261154377416807,0.25916667010537,0.257978343299931,0.257291878710779,0.257153989136977,0.257130978875034,0.257209443136531,0.257791918463261,0.261801451010446,0.258795181287918,0.262223221663285,0.261154377416807,0.25916667010537,0.257978343299931,0.257291878710779,0.257153989136977,0.257130978875034,0.257209443136531,0.257791918463261,0.261801451010446,0.258795181287918,0.262223221663285,0.261154377416807,0.25916667010537,0.257978343299931,0.257291878710779,0.257153989136977,0.257130978875034,0.257209443136531,0.257791918463261,0.261801451010446,0.258795181287918,0.262223221663285,0.261154377416807,0.25916667010537,0.257978343299931,0.257291878710779,0.257153989136977,0.257130978875034,0.257209443136531,0.257791918463261,0.261801451010446,0.258795181287918,0.262223221663285,0.261154377416807,0.25916667010537,0.257978343299931,0.257291878710779,0.257153989136977,0.257130978875034,0.257209443136531,0.257791918463261
"4",4,0.193410128064342,0.193232896031045,0.193850808495732,0.1937693077078,0.193398797155151,0.193151563193396,0.193008689586856,0.192968731640272,0.192957662085352,0.192969256875361,0.193064289534832,0.193410128064342,0.193232896031045,0.193850808495732,0.1937693077078,0.193398797155151,0.193151563193396,0.193008689586856,0.192968731640272,0.192957662085352,0.192969256875361,0.193064289534832,0.193410128064342,0.193232896031045,0.193850808495732,0.1937693077078,0.193398797155151,0.193151563193396,0.193008689586856,0.192968731640272,0.192957662085352,0.192969256875361,0.193064289534832,0.193410128064342,0.193232896031045,0.193850808495732,0.1937693077078,0.193398797155151,0.193151563193396,0.193008689586856,0.192968731640272,0.192957662085352,0.192969256875361,0.193064289534832,0.193410128064342,0.193232896031045,0.193850808495732,0.1937693077078,0.193398797155151,0.193151563193396,0.193008689586856,0.192968731640272,0.192957662085352,0.192969256875361,0.193064289534832,0.193410128064342,0.193232896031045,0.193850808495732,0.1937693077078,0.193398797155151,0.193151563193396,0.193008689586856,0.192968731640272,0.192957662085352,0.192969256875361,0.193064289534832
"5",5,0.143670540357929,0.145233496411669,0.1442127391623,0.144680942797731,0.145250728007538,0.145504741283913,0.145663919381353,0.145684273436566,0.145681767791239,0.145655381151009,0.145488722828912,0.143670540357929,0.145233496411669,0.1442127391623,0.144680942797731,0.145250728007538,0.145504741283913,0.145663919381353,0.145684273436566,0.145681767791239,0.145655381151009,0.145488722828912,0.143670540357929,0.145233496411669,0.1442127391623,0.144680942797731,0.145250728007538,0.145504741283913,0.145663919381353,0.145684273436566,0.145681767791239,0.145655381151009,0.145488722828912,0.143670540357929,0.145233496411669,0.1442127391623,0.144680942797731,0.145250728007538,0.145504741283913,0.145663919381353,0.145684273436566,0.145681767791239,0.145655381151009,0.145488722828912,0.143670540357929,0.145233496411669,0.1442127391623,0.144680942797731,0.145250728007538,0.145504741283913,0.145663919381353,0.145684273436566,0.145681767791239,0.145655381151009,0.145488722828912,0.143670540357929,0.145233496411669,0.1442127391623,0.144680942797731,0.145250728007538,0.145504741283913,0.145663919381353,0.145684273436566,0.145681767791239,0.145655381151009,0.145488722828912
"6",6,0.107212784280262,0.10988956968552,0.107883623549649,0.108729928600085,0.109796496856585,0.110342291559941,0.110637751324489,0.110777572940219,0.110781326503812,0.110651888235045,0.110378806862572,0.107212784280262,0.10988956968552,0.107883623549649,0.108729928600085,0.109796496856585,0.110342291559941,0.110637751324489,0.110777572940219,0.110781326503812,0.110651888235045,0.110378806862572,0.107212784280262,0.10988956968552,0.107883623549649,0.108729928600085,0.109796496856585,0.110342291559941,0.110637751324489,0.110777572940219,0.110781326503812,0.110651888235045,0.110378806862572,0.107212784280262,0.10988956968552,0.107883623549649,0.108729928600085,0.109796496856585,0.110342291559941,0.110637751324489,0.110777572940219,0.110781326503812,0.110651888235045,0.110378806862572,0.107212784280262,0.10988956968552,0.107883623549649,0.108729928600085,0.109796496856585,0.110342291559941,0.110637751324489,0.110777572940219,0.110781326503812,0.110651888235045,0.110378806862572,0.107212784280262,0.10988956968552,0.107883623549649,0.108729928600085,0.109796496856585,0.110342291559941,0.110637751324489,0.110777572940219,0.110781326503812,0.110651888235045,0.110378806862572
"7",7,0.0804886295274807,0.0837677211540364,0.0812837308032868,0.0823618249642641,0.0835919462769724,0.0842964707445817,0.0846478199405405,0.0847187899948067,0.0847272655114595,0.0846789418422301,0.0843722111092107,0.0804886295274807,0.0837677211540364,0.0812837308032868,0.0823618249642641,0.0835919462769724,0.0842964707445817,0.0846478199405405,0.0847187899948067,0.0847272655114595,0.0846789418422301,0.0843722111092107,0.0804886295274807,0.0837677211540364,0.0812837308032868,0.0823618249642641,0.0835919462769724,0.0842964707445817,0.0846478199405405,0.0847187899948067,0.0847272655114595,0.0846789418422301,0.0843722111092107,0.0804886295274807,0.0837677211540364,0.0812837308032868,0.0823618249642641,0.0835919462769724,0.0842964707445817,0.0846478199405405,0.0847187899948067,0.0847272655114595,0.0846789418422301,0.0843722111092107,0.0804886295274807,0.0837677211540364,0.0812837308032868,0.0823618249642641,0.0835919462769724,0.0842964707445817,0.0846478199405405,0.0847187899948067,0.0847272655114595,0.0846789418422301,0.0843722111092107,0.0804886295274807,0.0837677211540364,0.0812837308032868,0.0823618249642641,0.0835919462769724,0.0842964707445817,0.0846478199405405,0.0847187899948067,0.0847272655114595,0.0846789418422301,0.0843722111092107
"8",8,0.0607994784745127,0.0643673010559657,0.0617029913109335,0.0627529386585097,0.0641292847345741,0.0648694044826125,0.0652481207062652,0.065369303022897,0.0653812852447303,0.0652919341306673,0.0649746823110318,0.0607994784745127,0.0643673010559657,0.0617029913109335,0.0627529386585097,0.0641292847345741,0.0648694044826125,0.0652481207062652,0.065369303022897,0.0653812852447303,0.0652919341306673,0.0649746823110318,0.0607994784745127,0.0643673010559657,0.0617029913109335,0.0627529386585097,0.0641292847345741,0.0648694044826125,0.0652481207062652,0.065369303022897,0.0653812852447303,0.0652919341306673,0.0649746823110318,0.0607994784745127,0.0643673010559657,0.0617029913109335,0.0627529386585097,0.0641292847345741,0.0648694044826125,0.0652481207062652,0.065369303022897,0.0653812852447303,0.0652919341306673,0.0649746823110318,0.0607994784745127,0.0643673010559657,0.0617029913109335,0.0627529386585097,0.0641292847345741,0.0648694044826125,0.0652481207062652,0.065369303022897,0.0653812852447303,0.0652919341306673,0.0649746823110318,0.0607994784745127,0.0643673010559657,0.0617029913109335,0.0627529386585097,0.0641292847345741,0.0648694044826125,0.0652481207062652,0.065369303022897,0.0653812852447303,0.0652919341306673,0.0649746823110318
"9",9,0.0462498634224714,0.0499839572163177,0.0472405107257773,0.0483792116398429,0.0496996097093166,0.0503664844325911,0.0507696171485293,0.0508712704895615,0.0508858872193855,0.0508229485757785,0.0504938197808754,0.0462498634224714,0.0499839572163177,0.0472405107257773,0.0483792116398429,0.0496996097093166,0.0503664844325911,0.0507696171485293,0.0508712704895615,0.0508858872193855,0.0508229485757785,0.0504938197808754,0.0462498634224714,0.0499839572163177,0.0472405107257773,0.0483792116398429,0.0496996097093166,0.0503664844325911,0.0507696171485293,0.0508712704895615,0.0508858872193855,0.0508229485757785,0.0504938197808754,0.0462498634224714,0.0499839572163177,0.0472405107257773,0.0483792116398429,0.0496996097093166,0.0503664844325911,0.0507696171485293,0.0508712704895615,0.0508858872193855,0.0508229485757785,0.0504938197808754,0.0462498634224714,0.0499839572163177,0.0472405107257773,0.0483792116398429,0.0496996097093166,0.0503664844325911,0.0507696171485293,0.0508712704895615,0.0508858872193855,0.0508229485757785,0.0504938197808754,0.0462498634224714,0.0499839572163177,0.0472405107257773,0.0483792116398429,0.0496996097093166,0.0503664844325911,0.0507696171485293,0.0508712704895615,0.0508858872193855,0.0508229485757785,0.0504938197808754
"10",10,0.0354283276071049,0.0391874569954093,0.0364868590576453,0.0376615531273312,0.0388685450095098,0.0395851853610954,0.0399119362029007,0.0399984511166278,0.04001502240654,0.0399723328656991,0.0397287564570218,0.0354283276071049,0.0391874569954093,0.0364868590576453,0.0376615531273312,0.0388685450095098,0.0395851853610954,0.0399119362029007,0.0399984511166278,0.04001502240654,0.0399723328656991,0.0397287564570218,0.0354283276071049,0.0391874569954093,0.0364868590576453,0.0376615531273312,0.0388685450095098,0.0395851853610954,0.0399119362029007,0.0399984511166278,0.04001502240654,0.0399723328656991,0.0397287564570218,0.0354283276071049,0.0391874569954093,0.0364868590576453,0.0376615531273312,0.0388685450095098,0.0395851853610954,0.0399119362029007,0.0399984511166278,0.04001502240654,0.0399723328656991,0.0397287564570218,0.0354283276071049,0.0391874569954093,0.0364868590576453,0.0376615531273312,0.0388685450095098,0.0395851853610954,0.0399119362029007,0.0399984511166278,0.04001502240654,0.0399723328656991,0.0397287564570218,0.0354283276071049,0.0391874569954093,0.0364868590576453,0.0376615531273312,0.0388685450095098,0.0395851853610954,0.0399119362029007,0.0399984511166278,0.04001502240654,0.0399723328656991,0.0397287564570218
